Zone,tide,parameters,param_mean,param_sd,param_var
Ambient,High,percent_sgd,0.27766593330612244,0.23994339410973337,0.05757283237689883
Ambient,High,Salinity,34.60098243142857,0.07798388181856754,0.006081485823492308
Ambient,Low,percent_sgd,0.33538647284615386,0.640945192135475,0.4108107393215809
Ambient,Low,Salinity,34.58244394576923,0.21019693906883663,0.04418275319390822
Diffuse,High,percent_sgd,0.7711882417638889,0.7616371095281665,0.5800910866104203
Diffuse,High,Salinity,34.44366541902778,0.24647567119969455,0.06075025649333994
Diffuse,Low,percent_sgd,2.9711312028208954,3.576726792159011,12.792974545748091
Diffuse,Low,Salinity,33.702306164328355,1.2110752711867498,1.4667033124800595
Offshore,High,percent_sgd,0.216731266,0.04701582170889657,0.00221048749096275
Offshore,High,Salinity,34.607445850000005,0.015993188509888314,2.5578207871282356e-4
Offshore,Low,percent_sgd,0.23255813949999998,0.031061538489482454,9.648191733335999e-4
Offshore,Low,Salinity,34.602062085,0.010566077428167025,1.1164199221802067e-4
Transition,High,percent_sgd,1.1602574324722221,0.8937995169524915,0.7988775765045072
Transition,High,Salinity,34.312601101944445,0.2965467163372926,0.0879399549704307
Transition,Low,percent_sgd,8.416273880583333,6.250507853295199,39.06884842410496
Transition,Low,Salinity,31.870707266666667,2.126362345529777,4.521416824486896
